"id_intencao","palavras_chave","tipo_resposta","resposta_padrao","pergunta_followup","peso"
"qtd_minima_cor","mínimo por cor|quantas peças por cor|mínimo de cor|mistura de cores no pedido","direta","Quando a peça é personalizada em uma cor fora da paleta padrão (tingida sob demanda), o mínimo é 80 peças por cor. Para cores da paleta padrão (12 cores em estoque), não há mínimo por cor — só o mínimo do tipo de personalização.","","6"
"qtd_grande_volume","pedido grande|pedido alto volume|500 peças|1000 peças|atacado|grande quantidade|alta tiragem|alto volume","direta","Pedidos acima de 500 peças têm: desconto progressivo, prazo planejado em fases (lotes de 100 a 200 peças), entregas parciais, ficha técnica completa. O setor de vendas faz orçamento personalizado.","","6"
"qtd_pequena_volume","poucas peças|pedido pequeno|menos de 30 peças|peças unitárias|pequena tiragem|produção pequena","direta","Para pedidos pequenos (até 30 peças), recomendamos DTF (impressão digital) em vez de silkscreen — o setup do silk não compensa em tiragem pequena. Bordado funciona bem em qualquer quantidade. Para menos de 5 peças, não atendemos.","","6"
"personalizacao_prazo","prazo de personalização|quanto tempo personalização|demora personalização|prazo silk|prazo bordado|prazo dtf|demora pra personalizar|demora pra estampar|quanto tempo pra personalizar|prazo pra estampar|prazo pra personalizar","direta","Prazo de personalização (somado ao prazo da peça base): silkscreen 5 a 7 dias úteis; DTF 2 a 4 dias; bordado 3 a 7 dias; modelagem exclusiva 20 a 30 dias úteis antes da produção em si.","","6"
"personalizacao_envio_arte","enviar arte|mandar arte|formato da arte|arquivo da arte|png ai pdf|resolução da arte|como mandar arte|qual formato|png|cdr|pdf|mandar arquivo|mando o arquivo|aceita arquivo","direta","Aceitamos artes em PNG, AI, PDF ou SVG com resolução mínima de 300dpi. Para bordado, precisamos do arquivo em vetor (AI ou SVG). Envie pelo e-mail comercial ou pelo WhatsApp da equipe — o setor de arte faz pré-análise antes de aprovar para produção.","","6"
"sustentabilidade","sustentabilidade|sustentável|ecológico|ecologico|meio ambiente|impacto ambiental|esg|responsabilidade ambiental","guiada","A Fashion Flow leva sustentabilidade a sério. Sobre o que você quer saber?","Escolha uma opção: Aproveitamento de tecido|Materiais sustentáveis|Reciclagem de sobras|Tinturas e químicos|Práticas trabalhistas|Logística sustentável","4"
"sustent_aproveitamento","aproveitamento de tecido|encaixe de molde|reduzir desperdício|desperdício|desperdicio|sobras de corte|otimização de corte","direta","Usamos encaixe digital de moldes que reduz o desperdício de tecido em até 18% comparado ao corte tradicional. Sobras maiores viram peças complementares (bolsas, carteiras) e sobras pequenas vão para reciclagem têxtil.","","6"
"sustent_materiais_eco","algodão orgânico|algodao organico|poliéster reciclado|rpet|tencel|bambu|fibra sustentável|material sustentável|tecido sustentável|tecido ecológico","direta","Trabalhamos com algodão certificado BCI, poliéster reciclado rPET (feito de garrafas PET) e tencel (fibra de celulose de eucalipto). Linha eco corresponde a cerca de 30% do nosso catálogo e está crescendo.","","6"
"sustent_reciclagem","reciclam|reciclagem|reciclagem de tecido|reciclagem têxtil|reaproveita|reaproveitamento|economia circular","direta","Sobras de tecido são separadas por composição e enviadas para parceiros de reciclagem têxtil — viram enchimento de almofadas, mantas industriais e fios reciclados que voltam para nossa cadeia produtiva.","","6"
"sustent_quimicos","tinta tóxica|tinta toxica|química|quimica|substância nociva|sem químico|tinta segura|corante|sem corante|hipoalergênico|tinta faz mal|faz mal a saude","direta","Nossas tintas e corantes seguem padrões OEKO-TEX Standard 100, que limita substâncias nocivas. Para a linha infantil e pele sensível, usamos apenas tintas certificadas. Não usamos formaldeído, ftalatos ou metais pesados.","","6"
"sustent_trabalho","condições de trabalho|trabalho escravo|trabalho análogo|trabalho infantil|costureira clt|clt|terceirização|terceiriza|facção","direta","Toda a produção é feita dentro da nossa fábrica com colaboradores CLT. Não terceirizamos para facções sem auditoria. Realizamos auditorias semestrais para garantir condições adequadas e cumprimento da legislação trabalhista. Estamos em processo de certificação ABVTEX.","","6"
"sustent_vegano","vegano|vegana|sem couro|cruelty free|sem produto animal|origem animal","direta","A Fashion Flow não trabalha com couro animal, lã produzida com maus-tratos, seda convencional (que sacrifica bichos-da-seda) ou peles. A maioria do nosso catálogo é vegana. Para peças com lã, usamos apenas fornecedores com certificação de bem-estar animal.","","6"
"sustent_logistica","embalagem sustentável|embalagem reciclável|caixa reciclável|saco plástico|plástico|sacola|embalagem ecológica","direta","Nossas embalagens são de papel kraft reciclável ou plástico reciclado (rPET). Estamos eliminando gradualmente plásticos virgens. As caixas de envio são feitas de papelão reciclado e podem ser reaproveitadas.","","6"
"manutencao","manutenção|manutencao|cuidado com a peça|cuidados com a roupa|como conservar|conservação|como cuido|cuido da peca|cuidar da peca","guiada","Sobre cuidados com a peça, qual sua dúvida?","Escolha uma opção: Como lavar|Ferro de passar|Secadora|Alvejante|Tirar mancha|Cuidados por tecido|Encolhimento|Desbotamento","4"
"manut_lavar","como lavar|lavagem|lavar a peça|posso lavar|lavar à máquina|lavar a maquina|lavar à mão|lavar a mao|temperatura da água|agua fria|agua quente","direta","Lavagem recomendada: máquina em ciclo delicado, água fria (até 30°C), peças do avesso e separadas por cor. Para peças com estampa, sempre do avesso. Não deixe peças molhadas amontoadas — pode manchar.","","6"
"manut_ferro","pode passar a ferro|passar ferro|ferro de passar|temperatura ferro|ferro quente|engomar|passadoria|temperatura|temperatura do ferro","direta","Pode passar a ferro respeitando a temperatura por tecido: algodão até 200°C; viscose até 150°C; sintéticos até 110°C. Peças com estampa, passe sempre do avesso para preservar a estampa.","","6"
"manut_secadora","pode na secadora|secadora|secar na secadora|secadora ou varal|tumble dry","direta","Não recomendamos secadora. O calor acelera o desgaste, pode encolher (principalmente algodão) e prejudica estampas. Prefira secar à sombra, no varal, com a peça do avesso para preservar a cor.","","6"
"manut_alvejante","alvejante|água sanitária|agua sanitaria|cloro|qboa|posso usar alvejante|peça branca","direta","Não use alvejante. Danifica fibras, descolore tecidos coloridos e estampas, e amarela o branco com o tempo. Para manchas, use sabão neutro com escovação suave ou produtos específicos para tecidos.","","6"
"manut_mancha","tirar mancha|remover mancha|mancha de comida|mancha de óleo|mancha de café|mancha de vinho|tira mancha|manchou","direta","Para tirar manchas: aja rápido, nunca esfregue (espalha), use pano úmido de fora pra dentro. Óleo: sabão neutro. Café/vinho: água gelada e bicarbonato. Sangue: água gelada (nunca quente). Manchas difíceis: lavanderia especializada.","","6"
"manut_por_tecido","cuidado por tecido|tecido específico|cuidados específicos|por tipo de tecido","guiada","Sobre qual tecido você quer cuidados específicos?","Escolha uma opção: Algodão|Viscose|Poliéster|Linho|Jeans|Lã|Malha|Moletom","4"
"cuidados_algodao","cuidado algodão|lavar algodão|algodão encolhe","direta","Algodão: máquina água fria, secagem natural. Encolhe até 5% na primeira lavagem. Pode passar a ferro em alta temperatura. Evite torcer com força.","","6"
"cuidados_viscose","cuidado viscose|lavar viscose|viscose amassa","direta","Viscose: lavar à mão ou ciclo delicado, água fria. Não torcer. Secar na horizontal pra não deformar. Passar ferro morno (até 150°C).","","6"
"cuidados_poliester","cuidado poliéster|lavar poliéster|poliester|pet","direta","Poliéster: lavagem à máquina sem problema, muito resistente. Seca rápido. Geralmente não precisa passar a ferro. Cuidado: derrete acima de 110°C.","","6"
"cuidados_linho","cuidado linho|lavar linho|linho amassa","direta","Linho: ciclo delicado, água fria. Amassa muito — é parte da estética. Passar a ferro com vapor enquanto úmido facilita. Evite secadora.","","6"
"cuidados_jeans","cuidado jeans|lavar jeans|jeans desbota|conservar jeans","direta","Jeans: lave pouco — quanto menos lavagem, melhor conserva a cor. Sempre do avesso, água fria, sem amaciante. Para amaciar, vinagre branco diluído na primeira lavagem ajuda.","","6"
"cuidados_la","cuidado lã|lavar lã|cuidado la|tricô|tricot","direta","Lã: lavagem à mão ou ciclo lã, água fria, sabão neutro. Nunca torcer. Secar deitada sobre toalha pra não deformar. Não passar ferro direto — use pano úmido entre o ferro e a peça.","","6"
"cuidados_malha","cuidado malha|lavar malha|malha estica|malha encolhe","direta","Malha (camisetas, basicwear): ciclo delicado, água fria. Pode usar secadora em temperatura baixa, mas o ideal é varal. Não pendurar molhada em cabide — deforma o ombro. Secar dobrada.","","6"
"cuidados_moletom","cuidado moletom|lavar moletom|moletom encolhe|moletom desbota","direta","Moletom: do avesso, água fria, ciclo delicado. Não usar amaciante — deixa o tecido duro com o tempo. Secar na horizontal, evitar sol direto pra não desbotar. Não passar a ferro na parte felpuda interna.","","6"
"manut_encolhimento","encolheu|encolhimento|peça encolheu|encolhe|encolheu na lavagem|menor do que era","direta","Encolhimento ocorre principalmente em algodão (até 5% na primeira lavagem). Para minimizar: água fria, sem secadora, sem torcer. Se já encolheu pouco, alongue durante a secagem ainda úmida. Encolhimento acima de 5% pode ser defeito — fale com devoluções.","","6"
"manut_desbotamento","desbotou|desbotamento|peça desbotou|perdeu a cor|cor saiu|cor desbotou|cor sumiu","direta","Desbotamento é causado principalmente por: água quente, sol direto na secagem, alvejante e excesso de lavagens. Para minimizar: água fria, do avesso, à sombra, sem alvejante. Se desbotou logo na primeira lavagem seguindo as orientações, pode ser defeito — fale com devoluções.","","6"
"producao","produção|producao|processo produtivo|como produzem|como funciona produção|como é feito|como e feito|fabricam|fabricação|confecção|confeccionam","guiada","Sobre nosso processo de produção, o que você quer saber?","Escolha uma opção: Etapas do processo|Onde é produzido|Capacidade produtiva|Tecnologia|Equipe|Modelagem|Corte e costura","4"
"producao_etapas","etapas de produção|fases de produção|passos da produção|fluxo de produção|do início ao fim","direta","Nossa produção tem 6 etapas: 1) modelagem digital, 2) corte automatizado, 3) costura modular, 4) lavanderia (quando aplicável), 5) acabamento e personalização, 6) controle de qualidade e embalagem. Do pedido à expedição: 15 a 30 dias úteis em média.","","6"
"producao_onde","onde fica a fábrica|onde produz|onde é produzido|local de produção|fábrica brasileira|china|importado|produção no brasil|made in brazil","direta","Toda a produção da Fashion Flow é feita no Brasil, em nossa fábrica própria. Não terceirizamos para facções externas sem auditoria nem importamos produtos prontos. Isso garante padrão de qualidade consistente e cumprimento das condições trabalhistas.","","6"
"producao_capacidade","quantas peças por mês|capacidade produtiva|capacidade da fábrica|volume de produção|quantas peças produzem|produção mensal","direta","Capacidade média mensal: 8 mil a 12 mil peças, dependendo da complexidade. Picos sazonais (Black Friday, Natal) podem chegar a 18 mil peças/mês com planejamento antecipado.","","6"
"producao_tecnologia","tecnologia|máquinas|equipamentos|automação|automatização|cad|encaixe digital|máquina de costura|moderno","direta","Usamos modelagem CAD, corte automatizado com encaixe digital (reduz desperdício), máquinas industriais de costura com sensores, máquina de bordado computadorizada e impressão DTF para personalização digital.","","6"
"producao_equipe","equipe|funcionários|funcionarios|colaboradores|quantos trabalham|tamanho da equipe|costureiras|equipe da produção","direta","Nossa produção tem cerca de 45 colaboradores divididos entre modelagem, corte, costura, acabamento e controle de qualidade. Toda a equipe é CLT, com treinamento contínuo. A maioria está na empresa há mais de 3 anos.","","6"
"producao_modelagem","modelagem|piloto|prova piloto|ficha técnica|ficha tecnica|molde|moldes|desenho técnico","direta","A modelagem é digital (CAD), o que permite ajustes precisos e encaixe otimizado de moldes. Para clientes com modelagem exclusiva, fazemos prova piloto e até 2 rodadas de ajustes antes da produção em lote.","","6"
"producao_corte_costura","corte|máquina de corte|costura|tipo de costura|costura reta|overloque|interloque|galoneira","direta","Corte automatizado em mesa de corte computadorizada. Costura modular: cada peça passa por estações especializadas (overloque, galoneira, costura reta, casas, botões, acabamento). Isso garante qualidade consistente em todas as peças do lote.","","6"
"catalogo","tipo de produto|quais produtos|o que vocês fazem|o que voces fazem|o que vocês produzem|catálogo|catalogo|linha de produtos|produtos|quais os produtos|que produtos|lista de produtos|ver produtos","guiada","A Fashion Flow tem várias linhas. Qual te interessa?","Escolha uma opção: Camisetas e básicas|Moletons e jaquetas|Calças e shorts|Vestidos|Uniformes corporativos|Linha infantil","4"
"cat_camisetas","camiseta|camisetas|baby look|regata|polo|gola careca|gola v|gola redonda|t-shirt|tshirt|oversized","direta","Linha de camisetas: básica (100% algodão, gola careca/V/polo), premium (algodão pima penteado), regata, baby look e oversized. Gramaturas de 140g a 220g. Todas as 12 cores em pronta entrega.","","6"
"cat_moletons","moletom|moletons|jaqueta|capuz|sweatshirt|hoodie|jaqueta moletom|corta-vento|puffer|casaco","direta","Linha de moletons: flanelado (inverno), peluciado (meia estação), com capuz, sem capuz, com zíper (jaqueta moletom). Também jaqueta corta-vento e jaqueta puffer. Gramaturas de 280g a 380g.","","6"
"cat_calcas","calça|calcas|jeans|alfaiataria|jogger|legging|short|bermuda|calça moletom|calça social|skinny|wide leg","direta","Linha de calças: jeans (5 modelagens — skinny, reta, wide leg, mom, flare), alfaiataria, jogger, legging, calça moletom, bermuda esportiva e short jeans. Modelagens femininas, masculinas e unissex.","","6"
"cat_vestidos","vestido|vestidos|vestido midi|vestido longo|vestido de festa|vestido camisa|vestido moletom|vestidinho","direta","Linha de vestidos: básico de malha, midi viscose, longo de festa (sob demanda), vestido camisa, vestido moletom (estilo casual). Trabalhamos do PP ao G4.","","6"
"cat_uniformes","uniforme|uniformes|uniforme corporativo|uniforme empresa|jaleco|avental|uniforme escolar|uniforme industrial|epi|enxoval profissional","direta","Uniformes corporativos: polo, camisa social, jaleco, avental, conjuntos industriais, linha saúde e alimentação. Pedido mínimo 50 peças, personalização inclusa (logo, nome do colaborador).","","6"
"cat_infantil","infantil|criança|crianca|kids|roupa infantil|moda infantil|bebê|bebe|conjunto infantil","direta","Linha infantil: camisetas, conjuntos, moletons, vestidinhos e bermudas. Grade de 2 a 14 anos com modelagem própria. Tecidos certificados OEKO-TEX (pele sensível, sem corantes agressivos).","","6"
"cat_nao_fazemos","fazem calçado|fazem sapato|fazem tênis|fazem acessório|fazem bolsa|fazem joia|fazem roupa íntima|fazem cueca|fazem calcinha|fazem sutiã|fazem biquíni|fazem maiô","direta","A Fashion Flow trabalha apenas com vestuário (parte de cima e parte de baixo do corpo). Não fazemos calçado, acessório (bolsa, cinto), joia, roupa íntima (cueca, calcinha, sutiã) nem moda praia (biquíni, maiô).","","6"
"sugestao_produto","sugestão de produto|sugere produto|me indica peça|me sugere peça|recomenda peça|recomendação de peça|o que vocês têm|que peça você indica|o que voce indica|me indica|indica um produto|sugere uma peca","guiada","Te ajudo a escolher! Para qual ocasião você procura?","Escolha uma opção: Casual / dia a dia|Trabalho / corporativo|Esporte / academia|Festa / ocasião especial|Inverno|Verão|Uniforme empresa|Presente","4"
"sug_casual","casual|dia a dia|cotidiano|para usar todo dia|peça básica|básico|basico|peça de uso diário","direta","Para o dia a dia indico nossas peças mais versáteis: camiseta básica (algodão 100%), camiseta premium pima, jogger, moletom oversized. Saem em todas as 12 cores de estoque e são as mais pedidas da linha casual.","","6"
"sug_trabalho","trabalho|corporativo|escritório|ambiente formal|reunião|reuniao|business casual","direta","Para trabalho indico: camisa polo, camisa social, calça alfaiataria, vestido camisa. Ambiente formal prefira tons neutros (preto, marinho, branco, cinza); ambiente criativo, tons mais vivos.","","6"
"sug_esporte","esporte|academia|treino|exercício|corrida|yoga|pilates|crossfit|funcional|atividade física","direta","Para esporte indico: camiseta dry fit (poliéster com toque seco), legging suplex, bermuda esportiva, regata. Tecidos para suor, secagem rápida e elasticidade.","","6"
"sug_festa","festa|evento|formatura|casamento|aniversário|ocasião especial|ocasiao especial|jantar|gala","direta","Para festa indico: vestido longo (sob demanda, 20 a 30 dias úteis), vestido midi viscose, camisa social premium. Para ocasiões muito especiais, oferecemos modelagem exclusiva.","","6"
"sug_inverno","inverno|frio|peça de inverno|peça quente|peça pra frio|aquecer|quentinho|epoca fria|algo quente","direta","Para inverno indico: moletom flanelado (380g), jaqueta puffer, calça jeans pesada, peças de lã (sob demanda). Sobreposições funcionam melhor que uma peça muito grossa só.","","6"
"sug_verao","verão|verao|calor|peça leve|peça fresca|peça pra calor|peça de verão|fresquinho|algo fresco|algo leve|leve e fresco","direta","Para verão indico: linho, viscose, algodão leve (140g), camiseta regata, vestido midi de malha, bermuda. Cores claras esquentam menos.","","6"
"sug_uniforme","sugestão de uniforme|qual uniforme|indica uniforme|melhor uniforme","direta","Para uniforme empresarial fazemos atendimento completo: polo (mais usado), camisa social, jaleco, avental, conjuntos. Inclui logo bordado ou silk, nome do colaborador opcional. Mínimo 50 peças.","","6"
"sug_presente","presente|presentear|presente pra namorada|presente pra namorado|presente pra mãe|presente pra pai|presente de aniversário|gift","direta","Para presente indico: peças premium (algodão pima, alfaiataria leve), vestido midi, moletom personalizado com nome bordado. Embalamos em saco kraft com tag personalizada se solicitado no ato do pedido.","","6"
"tecidos","tecido|tecidos|pano|panos|fibra|que tecido|quais tecidos|qualidade do tecido|composição do tecido","guiada","Sobre tecidos, o que você quer saber?","Escolha uma opção: Lista de tecidos disponíveis|Composição de cada peça|Origem dos tecidos|Sugestão por uso|Tecido para pele sensível|Não trabalhamos com","4"
"tec_disponiveis","quais tecidos|tecidos disponíveis|lista de tecidos|tecidos que trabalham|o que vocês usam|tipos de tecido","direta","Trabalhamos com: algodão (básico, penteado, pima), poliéster (incluindo rPET reciclado), viscose, linho, malha mista, moletom flanelado e peluciado, suplex, dry fit, lã, jeans (várias gramaturas) e tencel. Não trabalhamos com couro animal nem seda convencional.","","6"
"tec_composicao","composição|composicao|porcentagem|% algodão|% poliéster|do que é feito|de que é feito|material da peça","direta","Composição varia por produto, sempre indicada na etiqueta. Exemplos: camiseta básica 100% algodão; moletom 80% algodão / 20% poliéster; dry fit 95% poliéster / 5% elastano; jeans 98% algodão / 2% elastano; viscose pura 100% viscose.","","6"
"tec_origem","origem do tecido|de onde vem o tecido|fornecedor de tecido|tecelagem|malharia|tecido nacional|tecido importado","direta","Compramos tecido de malharias e tecelagens brasileiras (Santa Catarina, Minas Gerais e São Paulo). Para algodão certificado, trabalhamos com fornecedores que comprovem origem (BCI ou orgânico). Não compramos tecidos com origem não rastreável.","","6"
"tec_pele_sensivel","pele sensível|pele sensivel|alérgico|alergico|alergia|dermatite|bebê|criança|hipoalergênico|sem corante","direta","Para pele sensível indico: algodão 100% certificado OEKO-TEX (sem substâncias nocivas), bambu (hipoalergênico) e tencel. Toda nossa linha infantil usa esses critérios. Evite poliéster puro, fechos metálicos em contato direto com a pele e corantes agressivos.","","6"
"tec_couro","couro|couro animal|couro vegano|couro sintético|fazem couro|trabalham couro","direta","Não trabalhamos com couro animal por questão de sustentabilidade e bem-estar animal. Também não usamos couro sintético em larga escala (PVC tem alto impacto ambiental). Para peças com aparência de couro, usamos tecidos com revestimento.","","6"
