"tecido","produto","compativel","observacao"
"malha_mista","oversized","sim","malha mista é adequado para oversized"
"malha_mista","moletom","nao","Não recomendamos malha mista em moletom - caimento ou durabilidade inadequada"
"malha_mista","jaqueta","nao","Não recomendamos malha mista em jaqueta - caimento ou durabilidade inadequada"
"malha_mista","calca_jeans","nao","Não recomendamos malha mista em calca jeans - caimento ou durabilidade inadequada"
"malha_mista","calca_alfaiataria","nao","Não recomendamos malha mista em calca alfaiataria - caimento ou durabilidade inadequada"
"malha_mista","jogger","nao","Não recomendamos malha mista em jogger - caimento ou durabilidade inadequada"
"malha_mista","legging","nao","Não recomendamos malha mista em legging - caimento ou durabilidade inadequada"
"malha_mista","bermuda","nao","Não recomendamos malha mista em bermuda - caimento ou durabilidade inadequada"
"malha_mista","vestido_midi","nao","Não recomendamos malha mista em vestido midi - caimento ou durabilidade inadequada"
"malha_mista","vestido_longo","nao","Não recomendamos malha mista em vestido longo - caimento ou durabilidade inadequada"
"malha_mista","vestido_camisa","nao","Não recomendamos malha mista em vestido camisa - caimento ou durabilidade inadequada"
"malha_mista","uniforme_polo","sim","malha mista é adequado para uniforme polo"
"malha_mista","uniforme_jaleco","nao","Não recomendamos malha mista em uniforme jaleco - caimento ou durabilidade inadequada"
"malha_mista","uniforme_avental","nao","Não recomendamos malha mista em uniforme avental - caimento ou durabilidade inadequada"
"malha_mista","infantil_camiseta","sim","malha mista é adequado para infantil camiseta"
"malha_mista","infantil_conjunto","nao","Não recomendamos malha mista em infantil conjunto - caimento ou durabilidade inadequada"
"malha_mista","infantil_moletom","nao","Não recomendamos malha mista em infantil moletom - caimento ou durabilidade inadequada"
"moletom_flanelado","camiseta_basica","nao","Não recomendamos moletom flanelado em camiseta basica - caimento ou durabilidade inadequada"
"moletom_flanelado","camiseta_premium","nao","Não recomendamos moletom flanelado em camiseta premium - caimento ou durabilidade inadequada"
"moletom_flanelado","regata","nao","Não recomendamos moletom flanelado em regata - caimento ou durabilidade inadequada"
"moletom_flanelado","baby_look","nao","Não recomendamos moletom flanelado em baby look - caimento ou durabilidade inadequada"
"moletom_flanelado","polo","nao","Não recomendamos moletom flanelado em polo - caimento ou durabilidade inadequada"
"moletom_flanelado","oversized","nao","Não recomendamos moletom flanelado em oversized - caimento ou durabilidade inadequada"
"moletom_flanelado","moletom","sim","moletom flanelado é adequado para moletom"
"moletom_flanelado","jaqueta","sim","moletom flanelado é adequado para jaqueta"
"moletom_flanelado","calca_jeans","nao","Não recomendamos moletom flanelado em calca jeans - caimento ou durabilidade inadequada"
"moletom_flanelado","calca_alfaiataria","nao","Não recomendamos moletom flanelado em calca alfaiataria - caimento ou durabilidade inadequada"
"moletom_flanelado","jogger","sim","moletom flanelado é adequado para jogger"
"moletom_flanelado","legging","nao","Não recomendamos moletom flanelado em legging - caimento ou durabilidade inadequada"
"moletom_flanelado","bermuda","nao","Não recomendamos moletom flanelado em bermuda - caimento ou durabilidade inadequada"
"moletom_flanelado","vestido_midi","nao","Não recomendamos moletom flanelado em vestido midi - caimento ou durabilidade inadequada"
"moletom_flanelado","vestido_longo","nao","Não recomendamos moletom flanelado em vestido longo - caimento ou durabilidade inadequada"
"moletom_flanelado","vestido_camisa","nao","Não recomendamos moletom flanelado em vestido camisa - caimento ou durabilidade inadequada"
"moletom_flanelado","uniforme_polo","nao","Não recomendamos moletom flanelado em uniforme polo - caimento ou durabilidade inadequada"
"moletom_flanelado","uniforme_jaleco","nao","Não recomendamos moletom flanelado em uniforme jaleco - caimento ou durabilidade inadequada"
"moletom_flanelado","uniforme_avental","nao","Não recomendamos moletom flanelado em uniforme avental - caimento ou durabilidade inadequada"
"moletom_flanelado","infantil_camiseta","nao","Não recomendamos moletom flanelado em infantil camiseta - caimento ou durabilidade inadequada"
"moletom_flanelado","infantil_conjunto","nao","Não recomendamos moletom flanelado em infantil conjunto - caimento ou durabilidade inadequada"
"moletom_flanelado","infantil_moletom","sim","moletom flanelado é adequado para infantil moletom"
"moletom_peluciado","camiseta_basica","nao","Não recomendamos moletom peluciado em camiseta basica - caimento ou durabilidade inadequada"
"moletom_peluciado","camiseta_premium","nao","Não recomendamos moletom peluciado em camiseta premium - caimento ou durabilidade inadequada"
"moletom_peluciado","regata","nao","Não recomendamos moletom peluciado em regata - caimento ou durabilidade inadequada"
"moletom_peluciado","baby_look","nao","Não recomendamos moletom peluciado em baby look - caimento ou durabilidade inadequada"
"moletom_peluciado","polo","nao","Não recomendamos moletom peluciado em polo - caimento ou durabilidade inadequada"
"moletom_peluciado","oversized","nao","Não recomendamos moletom peluciado em oversized - caimento ou durabilidade inadequada"
"moletom_peluciado","moletom","sim","moletom peluciado é adequado para moletom"
"moletom_peluciado","jaqueta","nao","Não recomendamos moletom peluciado em jaqueta - caimento ou durabilidade inadequada"
"moletom_peluciado","calca_jeans","nao","Não recomendamos moletom peluciado em calca jeans - caimento ou durabilidade inadequada"
"moletom_peluciado","calca_alfaiataria","nao","Não recomendamos moletom peluciado em calca alfaiataria - caimento ou durabilidade inadequada"
"moletom_peluciado","jogger","sim","moletom peluciado é adequado para jogger"
"moletom_peluciado","legging","nao","Não recomendamos moletom peluciado em legging - caimento ou durabilidade inadequada"
"moletom_peluciado","bermuda","nao","Não recomendamos moletom peluciado em bermuda - caimento ou durabilidade inadequada"
"moletom_peluciado","vestido_midi","nao","Não recomendamos moletom peluciado em vestido midi - caimento ou durabilidade inadequada"
"moletom_peluciado","vestido_longo","nao","Não recomendamos moletom peluciado em vestido longo - caimento ou durabilidade inadequada"
"moletom_peluciado","vestido_camisa","nao","Não recomendamos moletom peluciado em vestido camisa - caimento ou durabilidade inadequada"
"moletom_peluciado","uniforme_polo","nao","Não recomendamos moletom peluciado em uniforme polo - caimento ou durabilidade inadequada"
"moletom_peluciado","uniforme_jaleco","nao","Não recomendamos moletom peluciado em uniforme jaleco - caimento ou durabilidade inadequada"
"moletom_peluciado","uniforme_avental","nao","Não recomendamos moletom peluciado em uniforme avental - caimento ou durabilidade inadequada"
"moletom_peluciado","infantil_camiseta","nao","Não recomendamos moletom peluciado em infantil camiseta - caimento ou durabilidade inadequada"
"moletom_peluciado","infantil_conjunto","nao","Não recomendamos moletom peluciado em infantil conjunto - caimento ou durabilidade inadequada"
"moletom_peluciado","infantil_moletom","sim","moletom peluciado é adequado para infantil moletom"
"jeans","camiseta_basica","nao","Não recomendamos jeans em camiseta basica - caimento ou durabilidade inadequada"
"jeans","camiseta_premium","nao","Não recomendamos jeans em camiseta premium - caimento ou durabilidade inadequada"
"jeans","regata","nao","Não recomendamos jeans em regata - caimento ou durabilidade inadequada"
"jeans","baby_look","nao","Não recomendamos jeans em baby look - caimento ou durabilidade inadequada"
"jeans","polo","nao","Não recomendamos jeans em polo - caimento ou durabilidade inadequada"
"jeans","oversized","nao","Não recomendamos jeans em oversized - caimento ou durabilidade inadequada"
"jeans","moletom","nao","Não recomendamos jeans em moletom - caimento ou durabilidade inadequada"
"jeans","jaqueta","sim","jeans é adequado para jaqueta"
"jeans","calca_jeans","sim","jeans é adequado para calca jeans"
"jeans","calca_alfaiataria","nao","Não recomendamos jeans em calca alfaiataria - caimento ou durabilidade inadequada"
"jeans","jogger","nao","Não recomendamos jeans em jogger - caimento ou durabilidade inadequada"
"jeans","legging","nao","Não recomendamos jeans em legging - caimento ou durabilidade inadequada"
"jeans","bermuda","sim","jeans é adequado para bermuda"
"jeans","vestido_midi","nao","Não recomendamos jeans em vestido midi - caimento ou durabilidade inadequada"
"jeans","vestido_longo","nao","Não recomendamos jeans em vestido longo - caimento ou durabilidade inadequada"
"jeans","vestido_camisa","nao","Não recomendamos jeans em vestido camisa - caimento ou durabilidade inadequada"
"jeans","uniforme_polo","nao","Não recomendamos jeans em uniforme polo - caimento ou durabilidade inadequada"
"jeans","uniforme_jaleco","nao","Não recomendamos jeans em uniforme jaleco - caimento ou durabilidade inadequada"
"jeans","uniforme_avental","nao","Não recomendamos jeans em uniforme avental - caimento ou durabilidade inadequada"
"jeans","infantil_camiseta","nao","Não recomendamos jeans em infantil camiseta - caimento ou durabilidade inadequada"
"jeans","infantil_conjunto","nao","Não recomendamos jeans em infantil conjunto - caimento ou durabilidade inadequada"
"jeans","infantil_moletom","nao","Não recomendamos jeans em infantil moletom - caimento ou durabilidade inadequada"
"alfaiataria","camiseta_basica","nao","Não recomendamos alfaiataria em camiseta basica - caimento ou durabilidade inadequada"
"alfaiataria","camiseta_premium","nao","Não recomendamos alfaiataria em camiseta premium - caimento ou durabilidade inadequada"
"alfaiataria","regata","nao","Não recomendamos alfaiataria em regata - caimento ou durabilidade inadequada"
"alfaiataria","baby_look","nao","Não recomendamos alfaiataria em baby look - caimento ou durabilidade inadequada"
"alfaiataria","polo","nao","Não recomendamos alfaiataria em polo - caimento ou durabilidade inadequada"
"alfaiataria","oversized","nao","Não recomendamos alfaiataria em oversized - caimento ou durabilidade inadequada"
"alfaiataria","moletom","nao","Não recomendamos alfaiataria em moletom - caimento ou durabilidade inadequada"
"alfaiataria","jaqueta","nao","Não recomendamos alfaiataria em jaqueta - caimento ou durabilidade inadequada"
"alfaiataria","calca_jeans","nao","Não recomendamos alfaiataria em calca jeans - caimento ou durabilidade inadequada"
"alfaiataria","calca_alfaiataria","sim","alfaiataria é adequado para calca alfaiataria"
"alfaiataria","jogger","nao","Não recomendamos alfaiataria em jogger - caimento ou durabilidade inadequada"
"alfaiataria","legging","nao","Não recomendamos alfaiataria em legging - caimento ou durabilidade inadequada"
"alfaiataria","bermuda","nao","Não recomendamos alfaiataria em bermuda - caimento ou durabilidade inadequada"
"alfaiataria","vestido_midi","nao","Não recomendamos alfaiataria em vestido midi - caimento ou durabilidade inadequada"
"alfaiataria","vestido_longo","nao","Não recomendamos alfaiataria em vestido longo - caimento ou durabilidade inadequada"
"alfaiataria","vestido_camisa","sim","alfaiataria é adequado para vestido camisa"
"alfaiataria","uniforme_polo","nao","Não recomendamos alfaiataria em uniforme polo - caimento ou durabilidade inadequada"
"alfaiataria","uniforme_jaleco","nao","Não recomendamos alfaiataria em uniforme jaleco - caimento ou durabilidade inadequada"
"alfaiataria","uniforme_avental","nao","Não recomendamos alfaiataria em uniforme avental - caimento ou durabilidade inadequada"
"alfaiataria","infantil_camiseta","nao","Não recomendamos alfaiataria em infantil camiseta - caimento ou durabilidade inadequada"
"alfaiataria","infantil_conjunto","nao","Não recomendamos alfaiataria em infantil conjunto - caimento ou durabilidade inadequada"
"alfaiataria","infantil_moletom","nao","Não recomendamos alfaiataria em infantil moletom - caimento ou durabilidade inadequada"
"viscose","camiseta_basica","nao","Não recomendamos viscose em camiseta basica - caimento ou durabilidade inadequada"
"viscose","camiseta_premium","nao","Não recomendamos viscose em camiseta premium - caimento ou durabilidade inadequada"
"viscose","regata","nao","Não recomendamos viscose em regata - caimento ou durabilidade inadequada"
"viscose","baby_look","sim","viscose é adequado para baby look"
"viscose","polo","nao","Não recomendamos viscose em polo - caimento ou durabilidade inadequada"
"viscose","oversized","nao","Não recomendamos viscose em oversized - caimento ou durabilidade inadequada"
"viscose","moletom","nao","Não recomendamos viscose em moletom - caimento ou durabilidade inadequada"
"viscose","jaqueta","nao","Não recomendamos viscose em jaqueta - caimento ou durabilidade inadequada"
"viscose","calca_jeans","nao","Não recomendamos viscose em calca jeans - caimento ou durabilidade inadequada"
"viscose","calca_alfaiataria","nao","Não recomendamos viscose em calca alfaiataria - caimento ou durabilidade inadequada"
"viscose","jogger","nao","Não recomendamos viscose em jogger - caimento ou durabilidade inadequada"
"viscose","legging","nao","Não recomendamos viscose em legging - caimento ou durabilidade inadequada"
"viscose","bermuda","nao","Não recomendamos viscose em bermuda - caimento ou durabilidade inadequada"
"viscose","vestido_midi","sim","viscose é adequado para vestido midi"
"viscose","vestido_longo","sim","viscose é adequado para vestido longo"
"viscose","vestido_camisa","sim","viscose é adequado para vestido camisa"
"viscose","uniforme_polo","nao","Não recomendamos viscose em uniforme polo - caimento ou durabilidade inadequada"
"viscose","uniforme_jaleco","nao","Não recomendamos viscose em uniforme jaleco - caimento ou durabilidade inadequada"
"viscose","uniforme_avental","nao","Não recomendamos viscose em uniforme avental - caimento ou durabilidade inadequada"
"viscose","infantil_camiseta","nao","Não recomendamos viscose em infantil camiseta - caimento ou durabilidade inadequada"
"viscose","infantil_conjunto","nao","Não recomendamos viscose em infantil conjunto - caimento ou durabilidade inadequada"
"viscose","infantil_moletom","nao","Não recomendamos viscose em infantil moletom - caimento ou durabilidade inadequada"
"linho","camiseta_basica","nao","Não recomendamos linho em camiseta basica - caimento ou durabilidade inadequada"
"linho","camiseta_premium","sim","linho é adequado para camiseta premium"
"linho","regata","nao","Não recomendamos linho em regata - caimento ou durabilidade inadequada"
"linho","baby_look","nao","Não recomendamos linho em baby look - caimento ou durabilidade inadequada"
"linho","polo","nao","Não recomendamos linho em polo - caimento ou durabilidade inadequada"
"linho","oversized","nao","Não recomendamos linho em oversized - caimento ou durabilidade inadequada"
"linho","moletom","nao","Não recomendamos linho em moletom - caimento ou durabilidade inadequada"
"linho","jaqueta","nao","Não recomendamos linho em jaqueta - caimento ou durabilidade inadequada"
"linho","calca_jeans","nao","Não recomendamos linho em calca jeans - caimento ou durabilidade inadequada"
"linho","calca_alfaiataria","nao","Não recomendamos linho em calca alfaiataria - caimento ou durabilidade inadequada"
"linho","jogger","nao","Não recomendamos linho em jogger - caimento ou durabilidade inadequada"
"linho","legging","nao","Não recomendamos linho em legging - caimento ou durabilidade inadequada"
"linho","bermuda","sim","linho é adequado para bermuda"
"linho","vestido_midi","sim","linho é adequado para vestido midi"
"linho","vestido_longo","nao","Não recomendamos linho em vestido longo - caimento ou durabilidade inadequada"
"linho","vestido_camisa","nao","Não recomendamos linho em vestido camisa - caimento ou durabilidade inadequada"
"linho","uniforme_polo","nao","Não recomendamos linho em uniforme polo - caimento ou durabilidade inadequada"
"linho","uniforme_jaleco","nao","Não recomendamos linho em uniforme jaleco - caimento ou durabilidade inadequada"
"linho","uniforme_avental","nao","Não recomendamos linho em uniforme avental - caimento ou durabilidade inadequada"
"linho","infantil_camiseta","nao","Não recomendamos linho em infantil camiseta - caimento ou durabilidade inadequada"
"linho","infantil_conjunto","nao","Não recomendamos linho em infantil conjunto - caimento ou durabilidade inadequada"
"linho","infantil_moletom","nao","Não recomendamos linho em infantil moletom - caimento ou durabilidade inadequada"
"dry_fit","camiseta_basica","sim","dry fit é adequado para camiseta basica"
"dry_fit","camiseta_premium","nao","Não recomendamos dry fit em camiseta premium - caimento ou durabilidade inadequada"
"dry_fit","regata","sim","dry fit é adequado para regata"
"dry_fit","baby_look","nao","Não recomendamos dry fit em baby look - caimento ou durabilidade inadequada"
"dry_fit","polo","nao","Não recomendamos dry fit em polo - caimento ou durabilidade inadequada"
"dry_fit","oversized","nao","Não recomendamos dry fit em oversized - caimento ou durabilidade inadequada"
"dry_fit","moletom","nao","Não recomendamos dry fit em moletom - caimento ou durabilidade inadequada"
"dry_fit","jaqueta","nao","Não recomendamos dry fit em jaqueta - caimento ou durabilidade inadequada"
"dry_fit","calca_jeans","nao","Não recomendamos dry fit em calca jeans - caimento ou durabilidade inadequada"
"dry_fit","calca_alfaiataria","nao","Não recomendamos dry fit em calca alfaiataria - caimento ou durabilidade inadequada"
"dry_fit","jogger","nao","Não recomendamos dry fit em jogger - caimento ou durabilidade inadequada"
"dry_fit","legging","sim","dry fit é adequado para legging"
"dry_fit","bermuda","sim","dry fit é adequado para bermuda"
"dry_fit","vestido_midi","nao","Não recomendamos dry fit em vestido midi - caimento ou durabilidade inadequada"
"dry_fit","vestido_longo","nao","Não recomendamos dry fit em vestido longo - caimento ou durabilidade inadequada"
"dry_fit","vestido_camisa","nao","Não recomendamos dry fit em vestido camisa - caimento ou durabilidade inadequada"
"dry_fit","uniforme_polo","nao","Não recomendamos dry fit em uniforme polo - caimento ou durabilidade inadequada"
"dry_fit","uniforme_jaleco","nao","Não recomendamos dry fit em uniforme jaleco - caimento ou durabilidade inadequada"
"dry_fit","uniforme_avental","sim","dry fit é adequado para uniforme avental"
"dry_fit","infantil_camiseta","nao","Não recomendamos dry fit em infantil camiseta - caimento ou durabilidade inadequada"
"dry_fit","infantil_conjunto","nao","Não recomendamos dry fit em infantil conjunto - caimento ou durabilidade inadequada"
"dry_fit","infantil_moletom","nao","Não recomendamos dry fit em infantil moletom - caimento ou durabilidade inadequada"
"suplex","camiseta_basica","nao","Não recomendamos suplex em camiseta basica - caimento ou durabilidade inadequada"
"suplex","camiseta_premium","nao","Não recomendamos suplex em camiseta premium - caimento ou durabilidade inadequada"
"suplex","regata","sim","suplex é adequado para regata"
"suplex","baby_look","nao","Não recomendamos suplex em baby look - caimento ou durabilidade inadequada"
"suplex","polo","nao","Não recomendamos suplex em polo - caimento ou durabilidade inadequada"
"suplex","oversized","nao","Não recomendamos suplex em oversized - caimento ou durabilidade inadequada"
"suplex","moletom","nao","Não recomendamos suplex em moletom - caimento ou durabilidade inadequada"
"suplex","jaqueta","nao","Não recomendamos suplex em jaqueta - caimento ou durabilidade inadequada"
"suplex","calca_jeans","nao","Não recomendamos suplex em calca jeans - caimento ou durabilidade inadequada"
"suplex","calca_alfaiataria","nao","Não recomendamos suplex em calca alfaiataria - caimento ou durabilidade inadequada"
"suplex","jogger","nao","Não recomendamos suplex em jogger - caimento ou durabilidade inadequada"
"suplex","legging","sim","suplex é adequado para legging"
"suplex","bermuda","nao","Não recomendamos suplex em bermuda - caimento ou durabilidade inadequada"
"suplex","vestido_midi","nao","Não recomendamos suplex em vestido midi - caimento ou durabilidade inadequada"
"suplex","vestido_longo","nao","Não recomendamos suplex em vestido longo - caimento ou durabilidade inadequada"
"suplex","vestido_camisa","nao","Não recomendamos suplex em vestido camisa - caimento ou durabilidade inadequada"
"suplex","uniforme_polo","nao","Não recomendamos suplex em uniforme polo - caimento ou durabilidade inadequada"
"suplex","uniforme_jaleco","nao","Não recomendamos suplex em uniforme jaleco - caimento ou durabilidade inadequada"
"suplex","uniforme_avental","nao","Não recomendamos suplex em uniforme avental - caimento ou durabilidade inadequada"
"suplex","infantil_camiseta","nao","Não recomendamos suplex em infantil camiseta - caimento ou durabilidade inadequada"
"suplex","infantil_conjunto","nao","Não recomendamos suplex em infantil conjunto - caimento ou durabilidade inadequada"
"suplex","infantil_moletom","nao","Não recomendamos suplex em infantil moletom - caimento ou durabilidade inadequada"
"la","camiseta_basica","nao","Não recomendamos la em camiseta basica - caimento ou durabilidade inadequada"
"la","camiseta_premium","nao","Não recomendamos la em camiseta premium - caimento ou durabilidade inadequada"
"la","regata","nao","Não recomendamos la em regata - caimento ou durabilidade inadequada"
"la","baby_look","nao","Não recomendamos la em baby look - caimento ou durabilidade inadequada"
"la","polo","nao","Não recomendamos la em polo - caimento ou durabilidade inadequada"
"la","oversized","nao","Não recomendamos la em oversized - caimento ou durabilidade inadequada"
"la","moletom","nao","Não recomendamos la em moletom - caimento ou durabilidade inadequada"
"la","jaqueta","nao","Não recomendamos la em jaqueta - caimento ou durabilidade inadequada"
"la","calca_jeans","nao","Não recomendamos la em calca jeans - caimento ou durabilidade inadequada"
"la","calca_alfaiataria","nao","Não recomendamos la em calca alfaiataria - caimento ou durabilidade inadequada"
"la","jogger","nao","Não recomendamos la em jogger - caimento ou durabilidade inadequada"
"la","legging","nao","Não recomendamos la em legging - caimento ou durabilidade inadequada"
"la","bermuda","nao","Não recomendamos la em bermuda - caimento ou durabilidade inadequada"
"la","vestido_midi","nao","Não recomendamos la em vestido midi - caimento ou durabilidade inadequada"
"la","vestido_longo","sim","la é adequado para vestido longo"
"la","vestido_camisa","nao","Não recomendamos la em vestido camisa - caimento ou durabilidade inadequada"
"la","uniforme_polo","nao","Não recomendamos la em uniforme polo - caimento ou durabilidade inadequada"
"la","uniforme_jaleco","nao","Não recomendamos la em uniforme jaleco - caimento ou durabilidade inadequada"
"la","uniforme_avental","nao","Não recomendamos la em uniforme avental - caimento ou durabilidade inadequada"
"la","infantil_camiseta","nao","Não recomendamos la em infantil camiseta - caimento ou durabilidade inadequada"
"la","infantil_conjunto","nao","Não recomendamos la em infantil conjunto - caimento ou durabilidade inadequada"
"la","infantil_moletom","nao","Não recomendamos la em infantil moletom - caimento ou durabilidade inadequada"
"tencel","camiseta_basica","nao","Não recomendamos tencel em camiseta basica - caimento ou durabilidade inadequada"
"tencel","camiseta_premium","sim","tencel é adequado para camiseta premium"
"tencel","regata","nao","Não recomendamos tencel em regata - caimento ou durabilidade inadequada"
"tencel","baby_look","sim","tencel é adequado para baby look"
"tencel","polo","nao","Não recomendamos tencel em polo - caimento ou durabilidade inadequada"
"tencel","oversized","nao","Não recomendamos tencel em oversized - caimento ou durabilidade inadequada"
"tencel","moletom","nao","Não recomendamos tencel em moletom - caimento ou durabilidade inadequada"
