categoria,pergunta,intencao,status,motivo,resposta
tamanhos,tamanho pra crianca,cat_infantil,MISMATCH,"esperava tamanhos, classificou 'cat_infantil'","Linha infantil: camisetas, conjuntos, moletons, vestidinhos e bermudas. Grade de 2 a 14 anos com modelagem própria. Tecidos certificados OEKO-TEX (pele sensível, sem corantes agressivos)."
quantidade_minima,minimo pra silk,personalizacao_silkscreen,MISMATCH,"esperava quantidade_minima, classificou 'personalizacao_silkscreen'",Silkscreen (serigrafia) é a técnica tradicional de estampa. Ideal para tiragens acima de 30 peças (melhor custo por peça). Trabalha bem com até 6 cores por arte (cada cor é uma tela). Estampa muito resistente à lavagem. Setup leva 2 dias úteis e a produção em si 3 a 5 dias.
quantidade_minima,minimo pra bordado,personalizacao_bordado,MISMATCH,"esperava quantidade_minima, classificou 'personalizacao_bordado'","Bordado é feito em máquina computadorizada. Aceitamos até 12 cores de linha por arte. Áreas pequenas (até 10cm) em 3 dias úteis; áreas maiores até 7 dias. Mínimo de 10 peças. Ideal para peitos, mangas e golas. Confere acabamento premium."
quantidade_minima,da pra fazer so 5 pecas,viabilidade_producao,MISMATCH,"esperava quantidade_minima, classificou 'viabilidade_producao'","Sim, temos capacidade técnica para produzir 5 peças. O setor de costura tem 135 peças disponíveis hoje. Para confirmar, fale com vendas."
sustentabilidade,aproveitam o tecido,tecidos,MISMATCH,"esperava sustentabilidade, classificou 'tecidos'","Sobre tecidos, o que você quer saber? ⏎   1. Escolha uma opção: Lista de tecidos disponíveis ⏎   2. Composição de cada peça ⏎   3. Origem dos tecidos ⏎   4. Sugestão por uso ⏎   5. Tecido para pele sensível ⏎   6. Não trabalhamos com"
sustentabilidade,a tinta e toxica,fallback,FALLBACK,"esperava resposta, caiu em fallback","Hmm, não consegui entender bem. Posso te ajudar com: produção, tecidos, personalização, qualidade, sustentabilidade, cuidados, prazos e catálogo. Sobre qual desses você quer saber? Se for outro assunto (preço, entrega, devolução), me avisa que encaminho para o setor certo."
sustentabilidade,e trabalho digno,sug_trabalho,MISMATCH,"esperava sustentabilidade, classificou 'sug_trabalho'","Para trabalho indico: camisa polo, camisa social, calça alfaiataria, vestido camisa. Ambiente formal prefira tons neutros (preto, marinho, branco, cinza); ambiente criativo, tons mais vivos."
sustentabilidade,usam couro animal,tec_couro,MISMATCH,"esperava sustentabilidade, classificou 'tec_couro'","Não trabalhamos com couro animal por questão de sustentabilidade e bem-estar animal. Também não usamos couro sintético em larga escala (PVC tem alto impacto ambiental). Para peças com aparência de couro, usamos tecidos com revestimento."
producao,como voces produzem,viabilidade_producao,MISMATCH,"esperava producao, classificou 'viabilidade_producao'","Sim, temos capacidade técnica para produzir 0 peças. O setor de costura tem 135 peças disponíveis hoje. Para confirmar, fale com vendas."
catalogo,quais pecas voces produzem,viabilidade_producao,MISMATCH,"esperava catalogo, classificou 'viabilidade_producao'","Sim, temos capacidade técnica para produzir 0 peças. O setor de costura tem 135 peças disponíveis hoje. Para confirmar, fale com vendas."
catalogo,o que da pra fazer,consumo_tecido,MISMATCH,"esperava catalogo, classificou 'consumo_tecido'",Não tenho dados de consumo para esse produto. Fale com o setor técnico.
catalogo,tem calca jeans,combinado_tecido_em_produto,MISMATCH,"esperava catalogo, classificou 'combinado_tecido_em_produto'",Sim! Jeans é adequado para calca jeans
catalogo,produzem uniforme corporativo,combinado_gramatura_produto_uso,MISMATCH,"esperava catalogo, classificou 'combinado_gramatura_produto_uso'",Gramatura recomendada para uniforme polo (industria_leve): 200 a 220 g/m². Resistente para uso diário
catalogo,fazem roupa infantil,tamanhos_infantil,MISMATCH,"esperava catalogo, classificou 'tamanhos_infantil'","Grade infantil Fashion Flow: 2, 4, 6, 8, 10, 12 e 14 anos. Modelagem específica para criança (não é redução da grade adulta). Tecidos selecionados para pele sensível."
sugestao_produto,qual peca voce recomenda,setor_logistica,MISMATCH,"esperava sugestao_produto, classificou 'setor_logistica'","Para informações sobre entrega, frete, rastreamento e prazos de envio, vou te encaminhar ao chatbot de logística: (inserir link)."
sugestao_produto,qual uniforme voce indica,cat_uniformes,MISMATCH,"esperava sugestao_produto, classificou 'cat_uniformes'","Uniformes corporativos: polo, camisa social, jaleco, avental, conjuntos industriais, linha saúde e alimentação. Pedido mínimo 50 peças, personalização inclusa (logo, nome do colaborador)."
sugestao_produto,sugestao de uniforme,cat_uniformes,MISMATCH,"esperava sugestao_produto, classificou 'cat_uniformes'","Uniformes corporativos: polo, camisa social, jaleco, avental, conjuntos industriais, linha saúde e alimentação. Pedido mínimo 50 peças, personalização inclusa (logo, nome do colaborador)."
sugestao_produto,melhor uniforme,cat_uniformes,MISMATCH,"esperava sugestao_produto, classificou 'cat_uniformes'","Uniformes corporativos: polo, camisa social, jaleco, avental, conjuntos industriais, linha saúde e alimentação. Pedido mínimo 50 peças, personalização inclusa (logo, nome do colaborador)."
tecidos,tem couro vegano,sustent_vegano,MISMATCH,"esperava tecidos, classificou 'sustent_vegano'","A Fashion Flow não trabalha com couro animal, lã produzida com maus-tratos, seda convencional (que sacrifica bichos-da-seda) ou peles. A maioria do nosso catálogo é vegana. Para peças com lã, usamos apenas fornecedores com certificação de bem-estar animal."
tecidos,qual tecido pra calor,sug_verao,MISMATCH,"esperava tecidos, classificou 'sug_verao'","Para verão indico: linho, viscose, algodão leve (140g), camiseta regata, vestido midi de malha, bermuda. Cores claras esquentam menos."
tecidos,tecido fresco pra verao,sug_verao,MISMATCH,"esperava tecidos, classificou 'sug_verao'","Para verão indico: linho, viscose, algodão leve (140g), camiseta regata, vestido midi de malha, bermuda. Cores claras esquentam menos."
tecidos,qual tecido pra frio,sug_inverno,MISMATCH,"esperava tecidos, classificou 'sug_inverno'","Para inverno indico: moletom flanelado (380g), jaqueta puffer, calça jeans pesada, peças de lã (sob demanda). Sobreposições funcionam melhor que uma peça muito grossa só."
tecidos,tecido quente pra inverno,sug_inverno,MISMATCH,"esperava tecidos, classificou 'sug_inverno'","Para inverno indico: moletom flanelado (380g), jaqueta puffer, calça jeans pesada, peças de lã (sob demanda). Sobreposições funcionam melhor que uma peça muito grossa só."
tecidos,qual tecido resistente,qualidade_durabilidade,MISMATCH,"esperava tecidos, classificou 'qualidade_durabilidade'","Nossas peças são desenvolvidas para resistir entre 50 e 80 lavagens mantendo cor, forma e textura, desde que respeitados os cuidados da etiqueta. Tecidos premium (alfaiataria, jeans pesado) chegam a 120 lavagens."
tecidos,tecido duravel pra usar muito,qualidade_durabilidade,MISMATCH,"esperava tecidos, classificou 'qualidade_durabilidade'","Nossas peças são desenvolvidas para resistir entre 50 e 80 lavagens mantendo cor, forma e textura, desde que respeitados os cuidados da etiqueta. Tecidos premium (alfaiataria, jeans pesado) chegam a 120 lavagens."
tecidos,tecido do dia a dia,sug_casual,MISMATCH,"esperava tecidos, classificou 'sug_casual'","Para o dia a dia indico nossas peças mais versáteis: camiseta básica (algodão 100%), camiseta premium pima, jogger, moletom oversized. Saem em todas as 12 cores de estoque e são as mais pedidas da linha casual."
tecidos,qual tecido pra academia,sug_esporte,MISMATCH,"esperava tecidos, classificou 'sug_esporte'","Para esporte indico: camiseta dry fit (poliéster com toque seco), legging suplex, bermuda esportiva, regata. Tecidos para suor, secagem rápida e elasticidade."
tecidos,tecido sofisticado pra alfaiataria,cat_calcas,MISMATCH,"esperava tecidos, classificou 'cat_calcas'","Linha de calças: jeans (5 modelagens — skinny, reta, wide leg, mom, flare), alfaiataria, jogger, legging, calça moletom, bermuda esportiva e short jeans. Modelagens femininas, masculinas e unissex."
tecidos,quais cores de tecido em estoque,disponibilidade_materiais,MISMATCH,"esperava tecidos, classificou 'disponibilidade_materiais'","Visão geral de estoque: disponíveis (13) — algodao basico, algodao penteado, algodao pima, malha mista, moletom flanelado, moletom peluciado... + 7 outros. Indisponíveis: jeans, linho."
disponibilidade,tem material disponivel,viabilidade_producao,MISMATCH,"esperava disponibilidade, classificou 'viabilidade_producao'","Sim, temos capacidade técnica para produzir 0 peças. O setor de costura tem 135 peças disponíveis hoje. Para confirmar, fale com vendas."
prazo,prazo curto,viabilidade_producao,MISMATCH,"esperava prazo, classificou 'viabilidade_producao'","Sim, temos capacidade técnica para produzir 0 peças. O setor de costura tem 135 peças disponíveis hoje. Notei que é urgente — taxa de urgência aplicada é de 20% a 40%. Para confirmar, fale com vendas."
prazo,prazo pra pedido grande,qtd_grande_volume,MISMATCH,"esperava prazo, classificou 'qtd_grande_volume'","Pedidos acima de 500 peças têm: desconto progressivo, prazo planejado em fases (lotes de 100 a 200 peças), entregas parciais, ficha técnica completa. O setor de vendas faz orçamento personalizado."
prazo,prazo de 500 pecas,qtd_grande_volume,MISMATCH,"esperava prazo, classificou 'qtd_grande_volume'","Pedidos acima de 500 peças têm: desconto progressivo, prazo planejado em fases (lotes de 100 a 200 peças), entregas parciais, ficha técnica completa. O setor de vendas faz orçamento personalizado."
prazo,meu pedido atrasou,status_pedido,MISMATCH,"esperava prazo, classificou 'status_pedido'",Claro! Me informa o número do pedido que eu consulto o andamento na produção. O formato é FF-AAAA-NNNN (ex: FF-2026-0001).
compat_pers_tecido,posso estampar no linho,tecidos,MISMATCH,"esperava compat_pers_tecido, classificou 'tecidos'","Sobre tecidos, o que você quer saber? ⏎   1. Escolha uma opção: Lista de tecidos disponíveis ⏎   2. Composição de cada peça ⏎   3. Origem dos tecidos ⏎   4. Sugestão por uso ⏎   5. Tecido para pele sensível ⏎   6. Não trabalhamos com"
compat_cor_tecido,moletom preto disponivel,cat_moletons,MISMATCH,"esperava compat_cor_tecido, classificou 'cat_moletons'","Linha de moletons: flanelado (inverno), peluciado (meia estação), com capuz, sem capuz, com zíper (jaqueta moletom). Também jaqueta corta-vento e jaqueta puffer. Gramaturas de 280g a 380g."
compat_cor_tecido,algodao na cor marinho,tec_composicao,MISMATCH,"esperava compat_cor_tecido, classificou 'tec_composicao'","Composição varia por produto, sempre indicada na etiqueta. Exemplos: camiseta básica 100% algodão; moletom 80% algodão / 20% poliéster; dry fit 95% poliéster / 5% elastano; jeans 98% algodão / 2% elastano; viscose pura 100% viscose."
compat_cor_tecido,que cores tem no moletom,cat_moletons,MISMATCH,"esperava compat_cor_tecido, classificou 'cat_moletons'","Linha de moletons: flanelado (inverno), peluciado (meia estação), com capuz, sem capuz, com zíper (jaqueta moletom). Também jaqueta corta-vento e jaqueta puffer. Gramaturas de 280g a 380g."
gramatura,tecido grosso ou fino pra moletom,cat_moletons,MISMATCH,"esperava gramatura, classificou 'cat_moletons'","Linha de moletons: flanelado (inverno), peluciado (meia estação), com capuz, sem capuz, com zíper (jaqueta moletom). Também jaqueta corta-vento e jaqueta puffer. Gramaturas de 280g a 380g."
viabilidade,consigo 500 camisetas em 10 dias,combinado_prazo_qtd_produto,MISMATCH,"esperava viabilidade, classificou 'combinado_prazo_qtd_produto'","Para 500 peças de camiseta basica: prazo estimado de 22 a 30 dias úteis. Pelo prazo desejado (10 dias) ser mais curto que o normal, aplicamos taxa de urgência de 20% a 40%. Fale com vendas pra avaliar. Prazo confirmado pelo setor de vendas no fechamento do pedido."
viabilidade,conseguem fazer 300 moletons em 15 dias,combinado_prazo_qtd_produto,MISMATCH,"esperava viabilidade, classificou 'combinado_prazo_qtd_produto'","Para 300 peças de moletom: prazo estimado de 26 a 32 dias úteis. Pelo prazo desejado (15 dias) ser mais curto que o normal, aplicamos taxa de urgência de 20% a 40%. Fale com vendas pra avaliar. Prazo confirmado pelo setor de vendas no fechamento do pedido."
viabilidade,e viavel 200 polos em 5 dias,combinado_prazo_qtd_produto,MISMATCH,"esperava viabilidade, classificou 'combinado_prazo_qtd_produto'","Para 200 peças de polo: prazo estimado de 24 a 30 dias úteis. Pelo prazo desejado (5 dias) ser mais curto que o normal, aplicamos taxa de urgência de 20% a 40%. Fale com vendas pra avaliar. Prazo confirmado pelo setor de vendas no fechamento do pedido."
pedido_status,rastrear pedido,setor_logistica,MISMATCH,"esperava pedido_status, classificou 'setor_logistica'","Para informações sobre entrega, frete, rastreamento e prazos de envio, vou te encaminhar ao chatbot de logística: (inserir link)."
pedido_alterar,modificar meu pedido,status_pedido,MISMATCH,"esperava pedido_alterar, classificou 'status_pedido'",Claro! Me informa o número do pedido que eu consulto o andamento na produção. O formato é FF-AAAA-NNNN (ex: FF-2026-0001).
b2b,vendem pra empresa,setor_vendas,MISMATCH,"esperava b2b, classificou 'setor_vendas'","Para informações sobre valores, formas de pagamento, descontos e fechamento de pedido, vou te encaminhar ao chatbot de vendas: (inserir link)."
b2b,produzem pra minha marca,viabilidade_producao,MISMATCH,"esperava b2b, classificou 'viabilidade_producao'","Sim, temos capacidade técnica para produzir 0 peças. O setor de costura tem 135 peças disponíveis hoje. Para confirmar, fale com vendas."
b2b,camiseta pra escola,cat_camisetas,MISMATCH,"esperava b2b, classificou 'cat_camisetas'","Linha de camisetas: básica (100% algodão, gola careca/V/polo), premium (algodão pima penteado), regata, baby look e oversized. Gramaturas de 140g a 220g. Todas as 12 cores em pronta entrega."
b2b,uniforme empresa preco e prazo,setor_vendas,MISMATCH,"esperava b2b, classificou 'setor_vendas'","Para informações sobre valores, formas de pagamento, descontos e fechamento de pedido, vou te encaminhar ao chatbot de vendas: (inserir link)."
setor_logistica,quanto custa o frete,setor_vendas,MISMATCH,"esperava setor_logistica, classificou 'setor_vendas'","Para informações sobre valores, formas de pagamento, descontos e fechamento de pedido, vou te encaminhar ao chatbot de vendas: (inserir link)."
setor_logistica,codigo de rastreio,sug_esporte,MISMATCH,"esperava setor_logistica, classificou 'sug_esporte'","Para esporte indico: camiseta dry fit (poliéster com toque seco), legging suplex, bermuda esportiva, regata. Tecidos para suor, secagem rápida e elasticidade."
setor_devolucao,veio tamanho errado quero trocar,alterar_pedido_especifico,MISMATCH,"esperava setor_devolucao, classificou 'alterar_pedido_especifico'","Pra alterar, me informa o número do pedido (FF-AAAA-NNNN). Lembrando: só dá pra alterar enquanto está na etapa de modelagem."
setor_compras,como vendo pra voces,fallback,FALLBACK,"esperava resposta, caiu em fallback","Hmm, não consegui entender bem. Posso te ajudar com: produção, tecidos, personalização, qualidade, sustentabilidade, cuidados, prazos e catálogo. Sobre qual desses você quer saber? Se for outro assunto (preço, entrega, devolução), me avisa que encaminho para o setor certo."
setor_compras,setor de compras,setor_vendas,MISMATCH,"esperava setor_compras, classificou 'setor_vendas'","Para informações sobre valores, formas de pagamento, descontos e fechamento de pedido, vou te encaminhar ao chatbot de vendas: (inserir link)."
setor_compras,quero fornecer tecido,tecidos,MISMATCH,"esperava setor_compras, classificou 'tecidos'","Sobre tecidos, o que você quer saber? ⏎   1. Escolha uma opção: Lista de tecidos disponíveis ⏎   2. Composição de cada peça ⏎   3. Origem dos tecidos ⏎   4. Sugestão por uso ⏎   5. Tecido para pele sensível ⏎   6. Não trabalhamos com"
catalogo,tem moletom,disponibilidade_materiais,MISMATCH,"esperava catalogo, classificou 'disponibilidade_materiais'","Visão geral de estoque: disponíveis (13) — algodao basico, algodao penteado, algodao pima, malha mista, moletom flanelado, moletom peluciado... + 7 outros. Indisponíveis: jeans, linho."
catalogo,tem moletom ai,disponibilidade_materiais,MISMATCH,"esperava catalogo, classificou 'disponibilidade_materiais'","Visão geral de estoque: disponíveis (13) — algodao basico, algodao penteado, algodao pima, malha mista, moletom flanelado, moletom peluciado... + 7 outros. Indisponíveis: jeans, linho."
catalogo,da pra fazer calca jeans,combinado_tecido_em_produto,MISMATCH,"esperava catalogo, classificou 'combinado_tecido_em_produto'",Sim! Jeans é adequado para calca jeans
catalogo,tem calca jeans ai,combinado_tecido_em_produto,MISMATCH,"esperava catalogo, classificou 'combinado_tecido_em_produto'",Sim! Jeans é adequado para calca jeans
compat_cor_tecido,algodao na cor preto,tec_composicao,MISMATCH,"esperava compat_cor_tecido, classificou 'tec_composicao'","Composição varia por produto, sempre indicada na etiqueta. Exemplos: camiseta básica 100% algodão; moletom 80% algodão / 20% poliéster; dry fit 95% poliéster / 5% elastano; jeans 98% algodão / 2% elastano; viscose pura 100% viscose."
compat_cor_tecido,algodao na cor vermelho,tec_composicao,MISMATCH,"esperava compat_cor_tecido, classificou 'tec_composicao'","Composição varia por produto, sempre indicada na etiqueta. Exemplos: camiseta básica 100% algodão; moletom 80% algodão / 20% poliéster; dry fit 95% poliéster / 5% elastano; jeans 98% algodão / 2% elastano; viscose pura 100% viscose."
compat_cor_tecido,viscose na cor preto,tecidos,MISMATCH,"esperava compat_cor_tecido, classificou 'tecidos'","Sobre tecidos, o que você quer saber? ⏎   1. Escolha uma opção: Lista de tecidos disponíveis ⏎   2. Composição de cada peça ⏎   3. Origem dos tecidos ⏎   4. Sugestão por uso ⏎   5. Tecido para pele sensível ⏎   6. Não trabalhamos com"
compat_cor_tecido,viscose na cor rosa,tecidos,MISMATCH,"esperava compat_cor_tecido, classificou 'tecidos'","Sobre tecidos, o que você quer saber? ⏎   1. Escolha uma opção: Lista de tecidos disponíveis ⏎   2. Composição de cada peça ⏎   3. Origem dos tecidos ⏎   4. Sugestão por uso ⏎   5. Tecido para pele sensível ⏎   6. Não trabalhamos com"
compat_cor_tecido,viscose na cor verde militar,tecidos,MISMATCH,"esperava compat_cor_tecido, classificou 'tecidos'","Sobre tecidos, o que você quer saber? ⏎   1. Escolha uma opção: Lista de tecidos disponíveis ⏎   2. Composição de cada peça ⏎   3. Origem dos tecidos ⏎   4. Sugestão por uso ⏎   5. Tecido para pele sensível ⏎   6. Não trabalhamos com"
compat_cor_tecido,marinho disponivel em moletom flanelado,combinado_tecido_em_produto,MISMATCH,"esperava compat_cor_tecido, classificou 'combinado_tecido_em_produto'",Sim! Moletom flanelado é adequado para moletom
compat_cor_tecido,linho na cor marinho,tecidos,MISMATCH,"esperava compat_cor_tecido, classificou 'tecidos'","Sobre tecidos, o que você quer saber? ⏎   1. Escolha uma opção: Lista de tecidos disponíveis ⏎   2. Composição de cada peça ⏎   3. Origem dos tecidos ⏎   4. Sugestão por uso ⏎   5. Tecido para pele sensível ⏎   6. Não trabalhamos com"
personalizacao,fazem estampa,cat_nao_fazemos,MISMATCH,"esperava personalizacao, classificou 'cat_nao_fazemos'","A Fashion Flow trabalha apenas com vestuário (parte de cima e parte de baixo do corpo). Não fazemos calçado, acessório (bolsa, cinto), joia, roupa íntima (cueca, calcinha, sutiã) nem moda praia (biquíni, maiô)."
prazo,quando meu pedido fica pronto,status_pedido,MISMATCH,"esperava prazo, classificou 'status_pedido'",Claro! Me informa o número do pedido que eu consulto o andamento na produção. O formato é FF-AAAA-NNNN (ex: FF-2026-0001).
prazo,tempo de producao,producao,MISMATCH,"esperava prazo, classificou 'producao'","Sobre nosso processo de produção, o que você quer saber? ⏎   1. Escolha uma opção: Etapas do processo ⏎   2. Onde é produzido ⏎   3. Capacidade produtiva ⏎   4. Tecnologia ⏎   5. Equipe ⏎   6. Modelagem ⏎   7. Corte e costura"
setor_vendas,quanto ta a polo,cat_camisetas,MISMATCH,"esperava setor_vendas, classificou 'cat_camisetas'","Linha de camisetas: básica (100% algodão, gola careca/V/polo), premium (algodão pima penteado), regata, baby look e oversized. Gramaturas de 140g a 220g. Todas as 12 cores em pronta entrega."
setor_logistica,quanto custa o envio,setor_vendas,MISMATCH,"esperava setor_logistica, classificou 'setor_vendas'","Para informações sobre valores, formas de pagamento, descontos e fechamento de pedido, vou te encaminhar ao chatbot de vendas: (inserir link)."
